Year,Distance,Fuel,Seller_Type,Transmission,Owner,Engine,Power,Seats,Price
2015,43297,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6200 rpm,5,390000
2019,44710,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,650000
2013,62000,Diesel,Individual,Manual,First,1461 cc,108 bhp @ 4000 rpm,5,390000
2017,59267,Diesel,Individual,Automatic,First,1968 cc,188 bhp @ 4200 rpm,5,2400000
2011,69000,Petrol,Individual,Manual,First,1197 cc,85 bhp @ 6000 rpm,5,385000
2017,75000,Petrol,Commercial Registration,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,450000
2020,52236,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,649000
2020,47000,Diesel,Individual,Automatic,First,,,7,3499000
2019,15530,Diesel,Individual,Automatic,First,1968 cc,141 bhp @ 3500 rpm,5,2900000
2014,64000,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,400000
2020,35000,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,599000
2019,92000,Diesel,Individual,Manual,First,2755 cc,174 bhp @ 3400 rpm,7,2980000
2018,18000,Petrol,Individual,Automatic,First,1395 cc,148 bhp @ 5000 rpm,5,3500000
2016,50000,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,400000
2022,2000,Petrol,Individual,Automatic,First,1991 cc,194 bhp @ 5500 rpm,5,6975000
2013,72000,Diesel,Individual,Automatic,First,,,,745000
2016,16000,Diesel,Individual,Automatic,First,2143 cc,201 bhp @ 3800 rpm,5,5400000
2015,103890,Diesel,Individual,Automatic,Second,2987 cc,258 bhp @ 3600 rpm,7,3700000
2018,71000,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6000 rpm,5,445000
2021,12000,Diesel,Individual,Manual,First,2184 cc,130 bhp @ 3750 rpm,4,1475000
2016,93000,Diesel,Individual,Automatic,First,2755 cc,174 bhp @ 3400 rpm,7,2800000
2013,63000,Petrol,Individual,Manual,Second,814 cc,56@5500,5,190000
2020,10000,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,600000
2020,33828,Diesel,Individual,Automatic,First,1493 cc,114 bhp @ 4000 rpm,5,1835000
2019,48000,CNG,Individual,Manual,First,998 cc,58 bhp @ 5500 rpm,5,550000
2017,71000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,715000
2022,18000,Diesel,Individual,Automatic,First,2184 cc,182 bhp @ 3500 rpm,7,2540000
2019,50000,CNG,Individual,Manual,First,998 cc,58 bhp @ 5500 rpm,5,525000
2015,48000,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,425000
2022,4000,Petrol,Individual,Automatic,First,1197 cc,87 bhp @ 6000 rpm,5,795000
2010,73000,Petrol,Individual,Manual,Second,1497 cc,118@6600,5,269000
2013,170669,Diesel,Individual,Automatic,First,2982 cc,171 @3600,7,1450000
2014,68000,Diesel,Individual,Manual,First,1582 cc,128 bhp @ 4000 rpm,5,565000
2015,70000,Diesel,Individual,Automatic,Second,1995 cc,190 bhp @ 4000 rpm,5,2550000
2015,57654,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,529000
2019,22000,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6000 rpm,5,400000
2012,80000,Diesel,Individual,Manual,Second,,,,360000
2019,41792,Petrol,Individual,Manual,First,1462 cc,103 bhp @ 6000 rpm,6,975000
2017,41000,Diesel,Individual,Automatic,First,1995 cc,188 bhp @ 4000 rpm,5,2600000
2013,107021,Diesel,Individual,Automatic,Second,2987 cc,258 bhp @ 3600 rpm,7,2390000
2019,17000,Petrol,Individual,Manual,First,1353 cc,138 bhp @ 6000 rpm,5,1550000
2019,57993,Petrol,Individual,Automatic,First,998 cc,67 bhp @ 6000 rpm,5,430000
2021,18000,Electric,Individual,Automatic,First,,,5,1275000
2018,32000,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,600000
2018,25914,Petrol,Corporate,Automatic,First,1798 cc,138 bhp @ 6400 rpm,5,1650000
2014,49235,Diesel,Individual,Automatic,First,,,,3350000
2022,4500,Petrol,Individual,Automatic,First,2995 cc,335 bhp @ 5200 rpm,7,9400000
2014,114000,Petrol,Individual,Manual,Second,998 cc,67 bhp @ 6200 rpm,5,250000
2016,105000,Diesel,Individual,Automatic,Second,2179 cc,138 bhp @ 3750 rpm,7,994999
2016,45000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,675000
2014,30183,Petrol,Individual,Manual,First,1197 cc,85 bhp @ 6000 rpm,5,455000
2012,78000,Diesel,Individual,Manual,Third,,,,375000
2016,73190,Petrol,Individual,Manual,Second,998 cc,67 bhp @ 6200 rpm,5,345000
2022,13120,Petrol,Individual,Automatic,First,1998 cc,189 bhp @ 5000 rpm,5,4700000
2014,64000,Petrol,Individual,Manual,First,1797 cc,147 bhp @ 6500 rpm,5,700000
2014,140000,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3600 rpm,5,499000
2015,39000,Petrol,Individual,Manual,First,1373 cc,91 bhp @ 6000 rpm,5,590000
2014,56918,Petrol,Individual,Automatic,Second,1198 cc,76 bhp @ 6000 rpm,5,490000
2018,55000,Diesel,Individual,Automatic,First,1248 cc,74 bhp @ 4000 rpm,5,695000
2019,42000,Diesel,Individual,Manual,First,1396 cc,89 bhp @ 4000 rpm,5,1025000
2021,25000,Petrol,Individual,Automatic,First,1984 cc,188 bhp @ 4200 rpm,7,3375000
2019,28000,Diesel,Individual,Manual,First,2393 cc,148 bhp @ 3400 rpm,8,2250000
2018,43000,Diesel,Individual,Automatic,Second,2143 cc,134 bhp @ 3600 rpm,5,2650000
2021,16000,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,715000
2019,27657,Diesel,Individual,Automatic,Second,1582 cc,126 bhp @ 4000 rpm,5,1200000
2012,30000,Petrol,Individual,Manual,First,998 cc,68 bhp @ 6200 rpm,5,275000
2012,111000,Petrol,Individual,Manual,First,1497 cc,116 bhp @ 6600 rpm,5,445000
2016,37600,Diesel,Individual,Automatic,First,2143 cc,134 bhp @ 3600 rpm,4,1850000
2017,48000,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,665000
2019,37000,Diesel,Individual,Manual,First,1396 cc,89 bhp @ 4000 rpm,5,1090000
2015,54000,Diesel,Individual,Automatic,First,2987 cc,255 bhp @ 3600 rpm,5,5500000
2017,81802,Diesel,Individual,Automatic,Second,1968 cc,190 bhp @ 3800 rpm,5,2400000
2018,45915,Diesel,Individual,Automatic,First,1582 cc,126 bhp @ 4000 rpm,5,1085000
2021,24000,Petrol,Individual,Automatic,First,1999 cc,157 bhp @ 6500 rpm,6,2140000
2019,22224,Petrol,Individual,Automatic,First,1199 cc,89 bhp @ 6000 rpm,5,795000
2021,38000,CNG,Individual,Manual,First,1373 cc,94 bhp @ 6000 rpm,7,1080000
2018,53848,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,628000
2013,104264,Diesel,Individual,Automatic,Second,1995 cc,188 bhp @ 4000 rpm,5,1550000
2016,61159,Petrol,Individual,Automatic,Second,1991 cc,184 bhp @ 5500 rpm,5,2400000
2015,72000,Petrol,Individual,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,595000
2016,29000,Diesel,Individual,Automatic,First,2179 cc,188 bhp @ 3500 rpm,5,3450000
2018,42000,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,819999
2012,40000,Diesel,Individual,Automatic,First,1968 cc,174 bhp @ 4200 rpm,5,1490000
2020,57400,Diesel,Individual,Manual,First,1497 cc,115 bhp @ 3750 rpm,5,950000
2019,13500,Diesel,Individual,Automatic,Second,1999 cc,177 bhp @ 4000 rpm,5,3750000
2021,12400,Petrol,Individual,Automatic,First,1991 cc,201 bhp @ 5800 rpm,5,4950000
2021,38000,Diesel,Individual,Automatic,First,1956 cc,168 bhp @ 3750 rpm,5,2950000
2019,7000,Petrol,Individual,Automatic,First,1451 cc,141 bhp @ 5000 rpm,5,1625000
2012,121000,Diesel,Individual,Manual,Second,2982 cc,169 bhp @ 3600 rpm,7,1290000
2015,76000,Diesel,Individual,Manual,First,1364 cc,67 bhp @ 3800 rpm,5,625000
2018,50000,Diesel,Individual,Manual,First,2179 cc,138 bhp @ 3750 rpm,7,1490000
2013,46721,Petrol,Individual,Automatic,Second,1197 cc,80@5200,5,325000
2017,41470,Diesel,Individual,Automatic,First,2179 cc,138 bhp @ 3750 rpm,7,1190000
2013,170000,Diesel,Individual,Manual,Third,2179 cc,120 bhp @ 4000 rpm,8,625000
2014,80000,Diesel,Individual,Automatic,Second,2993 cc,289 bhp @ 4000 rpm,5,5375000
2018,6000,Petrol,Corporate,Automatic,First,1497 cc,117 bhp @ 6600 rpm,5,1138000
2021,17000,Petrol,Individual,Automatic,First,1798 cc,170 bhp @ 3800 rpm,5,4250000
2014,31000,Petrol,Individual,Manual,First,1198 cc,87 bhp @ 6000 rpm,5,365000
2014,73265,Diesel,Individual,Automatic,Second,1998 cc,164 bhp @ 3800 rpm,5,475000
2019,47000,Diesel,Individual,Manual,First,1582 cc,126 bhp @ 4000 rpm,5,1225000
2017,42000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,7,725000
2017,25000,Diesel,Individual,Automatic,Second,2143 cc,134 bhp @ 3600 rpm,5,2450000
2009,140000,Diesel,Individual,Manual,Third,1991 cc,142@4000,5,225000
2018,68818,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,695000
2018,57000,Diesel,Individual,Automatic,First,2755 cc,172 bhp @ 3400 rpm,7,2200000
2020,39000,Diesel,Individual,Automatic,First,1498 cc,79 bhp @ 3600 rpm,5,950000
2022,12050,Petrol,Individual,Automatic,First,2694 cc,164 bhp @ 5200 rpm,7,2598000
2017,24100,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,585000
2017,23000,Petrol,Individual,Manual,First,1196 cc,87 bhp @ 6300 rpm,5,434999
2009,185000,Diesel,Individual,Manual,First,1248 cc,75@4000,5,295000
2019,76000,Diesel,Individual,Manual,First,1498 cc,94 bhp @ 4000 rpm,5,910000
2020,47000,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6000 rpm,5,565000
2021,1910,Petrol,Individual,Automatic,First,1462 cc,103 bhp @ 6000 rpm,5,1050000
2019,23000,Diesel,Individual,Manual,First,1396 cc,89 bhp @ 4000 rpm,5,990000
2020,36978,Diesel,Individual,Automatic,Second,1968 cc,141 bhp @ 3500 rpm,5,2590000
2016,33000,Diesel,Individual,Manual,First,2179 cc,138 bhp @ 3750 rpm,7,1000000
2012,18954,Petrol,Individual,Manual,First,1086 cc,68 bhp @ 5500 rpm,5,254999
2015,58200,Petrol,Individual,Automatic,First,1591 cc,121 bhp @ 6300 rpm,5,598000
2018,83000,Diesel,Individual,Manual,First,1493 cc,70 bhp @ 3600 rpm,7,850000
2016,80000,Diesel,Individual,Manual,Second,1396 cc,89 bhp @ 4000 rpm,5,560000
2011,75000,Diesel,Individual,Automatic,First,1968 cc,177 bhp @ 4200 rpm,5,975000
2017,64000,Diesel,Individual,Automatic,First,1968 cc,141 bhp @ 3500 rpm,5,2600000
2016,117048,Diesel,Individual,Manual,First,1598 cc,105 bhp @ 4400 rpm,5,745000
2017,47000,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,495000
2018,43290,Petrol,Individual,Automatic,First,1798 cc,178 bhp @ 5100 rpm,5,2450000
2013,70000,Petrol,Individual,Manual,First,,,,250000
2016,7000,Diesel,Individual,Automatic,First,2143 cc,168 bhp @ 3000 rpm,5,2850000
2016,150000,Diesel,Individual,Manual,First,2179 cc,120 bhp @ 4000 rpm,8,925000
2013,125000,Diesel,Individual,Automatic,First,2982 cc,169 bhp @ 3600 rpm,7,1075000
2019,42079,Diesel,Individual,Automatic,First,2987 cc,255 bhp @ 3400 rpm,5,6225000
2015,62645,Diesel,Individual,Automatic,First,,,,2650000
2014,69000,Diesel,Individual,Automatic,First,1968 cc,177 bhp @ 3750 rpm,5,1500000
2011,70662,Petrol,Individual,Automatic,Second,,,,2800000
2011,40000,Diesel,Individual,Manual,Second,2835 cc,118 bhp @ 4000 rpm,5,625000
2011,101347,Petrol,Individual,Manual,Third,1496 cc,90 bhp @ 5600 rpm,5,325000
2021,36700,Diesel,Individual,Manual,First,1497 cc,121 bhp @ 3500 rpm,8,1485000
2012,240000,Diesel,Individual,Automatic,First,2967 cc,245 bhp @ 4000 rpm,5,1650000
2014,76529,Diesel,Individual,Automatic,First,1968 cc,141 bhp @ 3500 rpm,5,1800000
2014,85000,Diesel,Individual,Manual,Second,2494 cc,100 bhp @ 3600 rpm,7,1290000
2016,99000,Diesel,Individual,Manual,First,1461 cc,84 bhp @ 3750 rpm,5,600000
2014,37959,Petrol,Individual,Automatic,Second,1197 cc,79 bhp @ 6000 rpm,5,436000
2021,60000,Diesel,Individual,Automatic,First,2755 cc,174 bhp @ 3400 rpm,7,4300000
2017,27000,Petrol,Individual,Manual,First,1198 cc,67 bhp @ 5000 rpm,5,270000
2011,75000,Diesel,Individual,Manual,Second,1991 cc,150@4000,5,320000
2022,1300,Petrol,Individual,Automatic,First,1353 cc,138 bhp @ 6000 rpm,5,1911000
2020,21696,Diesel,Individual,Automatic,First,2993 cc,262 bhp @ 4000 rpm,5,8600000
2019,33000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,3900000
2016,6000,Diesel,Individual,Automatic,First,1984 cc,150 bhp @ 3500 rpm,5,2000000
2019,19000,Petrol,Individual,Automatic,First,1086 cc,68 bhp @ 5500 rpm,5,465000
2019,58618,Petrol,Individual,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,875000
2017,10500,Petrol,Individual,Automatic,First,1998 cc,189 bhp @,4,3200000
2019,85641,Diesel,Commercial Registration,Manual,First,1493 cc,100 bhp @ 3750 rpm,7,850000
2020,41669,Petrol,Individual,Automatic,First,999 cc,67 bhp @ 5500 rpm,5,426999
2022,10000,Diesel,Individual,Automatic,First,1950 cc,241 bhp @ 4200 rpm,5,9200000
2018,36000,Diesel,Individual,Manual,First,1582 cc,126 bhp @ 4000 rpm,5,1035000
2018,31000,Petrol,Individual,Manual,First,1197 cc,89 bhp @ 6000 rpm,5,695000
2020,37180,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,3675000
2021,14000,Diesel,Individual,Automatic,First,2184 cc,130 bhp @ 3750 rpm,4,1700000
2018,53512,Petrol,Individual,Manual,Second,1199 cc,84 bhp @ 6000 rpm,5,449000
2022,4600,Diesel,Individual,Automatic,UnRegistered Car,2148 cc,170@3700,5,5400000
2021,40000,Diesel,Individual,Automatic,First,1996 cc,215 bhp @ 4000 rpm,6,3950000
2015,65000,Diesel,Individual,Manual,Second,1396 cc,89 bhp @ 4000 rpm,5,565000
2019,32963,Diesel,Individual,Automatic,First,1995 cc,184 bhp @ 4000 rpm,5,3775000
2012,101000,Diesel,Individual,Automatic,Second,2143 cc,231 bhp @ 3000 rpm,5,1275000
2018,14000,Petrol,Individual,Manual,First,999 cc,67 bhp @ 5500 rpm,5,375000
2018,50500,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,949000
2019,80849,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,775000
2014,19868,Diesel,Individual,Automatic,First,1968 cc,177 bhp @ 3750 rpm,5,1800000
2016,45000,Petrol,Individual,Automatic,First,1497 cc,117 bhp @ 6600 rpm,5,825000
2019,30858,Petrol,Individual,Manual,First,1086 cc,68 bhp @ 5500 rpm,5,509999
2018,56500,Diesel,Individual,Manual,First,2179 cc,140 bhp @ 3750 rpm,7,1350000
2020,37003,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,650000
2021,11000,Diesel,Individual,Manual,First,1498 cc,99 bhp @ 3600 rpm,5,1490000
2016,53000,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,545000
2018,75000,Diesel,Individual,Automatic,First,1995 cc,188 bhp @ 4000 rpm,5,2950000
2010,120000,Diesel,Individual,Automatic,First,2987 cc,231@3800,5,1150000
2013,44087,Diesel,Individual,Automatic,First,1968 cc,174 bhp @ 4200 rpm,5,1850000
2016,39000,Diesel,Individual,Automatic,First,2993 cc,258 bhp @ 4000 rpm,7,3995000
2014,59000,Diesel,Individual,Automatic,First,2143 cc,204 bhp @ 4200 rpm,5,1750000
2017,45000,Diesel,Individual,Automatic,First,2967 cc,245 bhp @ 2910 rpm,7,5500000
2013,92000,Diesel,Individual,Manual,Second,1461 cc,85 bhp @ 3750 rpm,5,360000
2019,48422,Petrol,Individual,Manual,First,1497 cc,121 bhp @ 6500 rpm,5,625000
2019,29000,Diesel,Individual,Automatic,First,1995 cc,188 bhp @ 4000 rpm,5,4150000
2021,37500,Diesel,Individual,Manual,First,2184 cc,130 bhp @ 3750 rpm,4,1698999
2018,62000,Petrol,Individual,Manual,Second,1197 cc,83 bhp @ 6000 rpm,5,484999
2020,17000,Petrol,Individual,Automatic,First,1395 cc,148 bhp @ 5000 rpm,5,4250000
2017,76642,CNG,Individual,Manual,First,1373 cc,94 bhp @ 6000 rpm,7,800000
2019,44000,Petrol,Individual,Manual,First,1591 cc,122 bhp @ 6400 rpm,5,1275000
2018,20000,Petrol,Individual,Automatic,First,1988 cc,295 bhp @ 6500 rpm,2,9500000
2013,102000,Diesel,Individual,Automatic,Second,1995 cc,188 bhp @ 4000 rpm,5,1375000
2022,9000,Diesel,Individual,Manual,First,1493 cc,113 bhp @ 4000 rpm,5,1700000
2013,135000,Diesel,Individual,Manual,First,2179 cc,140 bhp @ 3750 rpm,7,500000
2020,14500,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,6800000
2019,31552,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,715000
2016,70000,Petrol,Individual,Automatic,First,998 cc,67 bhp @ 6200 rpm,5,380000
2016,35134,Petrol,Individual,Manual,First,1198 cc,87 bhp @ 6000 rpm,5,375000
2016,45000,Diesel,Individual,Automatic,Third,2993 cc,289 bhp @ 4000 rpm,5,7200000
2020,18000,Diesel,Individual,Automatic,First,1950 cc,241 bhp @ 4200 rpm,5,8190000
2018,8000,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,695000
2016,62125,Diesel,Individual,Manual,First,1582 cc,126 bhp @ 4000 rpm,5,875000
2016,78000,Diesel,Individual,Automatic,First,1999 cc,177 bhp @ 4000 rpm,7,3500000
2018,64300,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,685000
2021,28000,Diesel,Individual,Manual,First,1956 cc,168 bhp @ 3750 rpm,7,1875000
2017,28600,Petrol,Individual,Automatic,First,1798 cc,177 bhp @ 4500 rpm,5,1685000
2015,69500,Diesel,Individual,Automatic,Second,1968 cc,190 bhp @ 3800 rpm,5,2550000
2017,70000,Diesel,Individual,Manual,First,1582 cc,126 bhp @ 4000 rpm,5,869999
2018,24000,Diesel,Individual,Manual,First,2498 cc,105 bhp @ 3800 rpm,6,875000
2012,69500,Diesel,Individual,Automatic,First,1968 cc,174 bhp @ 4200 rpm,5,1390000
2019,25500,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,825000
2017,20000,Petrol,Individual,Automatic,First,1373 cc,91 bhp @ 6000 rpm,5,785000
2016,55000,Diesel,Individual,Automatic,Second,2143 cc,134 bhp @ 3600 rpm,5,2145000
2021,8640,CNG,Individual,Manual,First,1196 cc,73 bhp @ 6000 rpm,5,590000
2013,80500,Petrol,Individual,Manual,First,,,,335000
2013,65000,Petrol,Individual,Automatic,Second,2995 cc,335 bhp @ 6500 rpm,5,2550000
2019,5750,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,6500000
2015,50000,Petrol,Individual,Manual,First,1198 cc,74 bhp @ 5400 rpm,5,490000
2017,28000,Diesel,Individual,Automatic,First,2993 cc,262 bhp @ 4000 rpm,4,5950000
2011,75431,Petrol,Individual,Manual,First,,,,250000
2017,43000,Petrol,Individual,Manual,UnRegistered Car,999 cc,67 bhp @ 5500 rpm,5,420000
2019,44876,Diesel,Individual,Automatic,First,1995 cc,182 bhp @ 4000 rpm,5,2395000
2013,95610,Diesel,Individual,Manual,Second,1336 cc,89 bhp @ 4000 rpm,5,360000
2013,51000,Diesel,Individual,Manual,First,1461 cc,85 bhp @ 3750 rpm,5,325000
2013,110000,Diesel,Individual,Automatic,Second,2179 cc,190 bhp @ 3500 rpm,5,2300000
2014,53693,CNG,Individual,Manual,First,1373 cc,82 bhp @ 6000 rpm,7,642000
2018,70000,Petrol,Individual,Manual,First,814 cc,55 bhp @ 5500 rpm,5,290000
2014,57000,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,390000
2014,63000,Petrol,Individual,Automatic,First,1798 cc,138 bhp @ 6400 rpm,5,890000
2002,65494,Petrol,Individual,Manual,First,,,,100000
2016,53807,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,440000
2018,46000,Petrol,Individual,Manual,First,1373 cc,91 bhp @ 6000 rpm,5,721000
2018,67546,Petrol,Individual,Automatic,Second,1798 cc,177 bhp @ 5100 rpm,5,1515000
2021,14500,Petrol,Individual,Automatic,First,1997 cc,245 bhp @ 5500 rpm,7,7000000
2018,37100,Petrol,Individual,Manual,First,1497 cc,117 bhp @ 6600 rpm,5,949000
2019,30000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,5500000
2018,89059,Petrol,Individual,Manual,First,799 cc,53 bhp @ 5678 rpm,5,319000
2013,77000,Diesel,Individual,Manual,Second,1248 cc,89 bhp @ 4000 rpm,7,459999
2018,42000,Diesel,Individual,Automatic,First,1984 cc,150 bhp @ 3500 rpm,5,2100000
2017,58146,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,685000
2020,13000,Petrol,Individual,Automatic,First,1998 cc,189 bhp @,4,3900000
2013,75000,Diesel,Individual,Manual,Second,1364 cc,68 bhp @ 3600 rpm,5,300000
2016,20500,Diesel,Corporate,Automatic,First,,,,6350000
2018,50500,Diesel,Individual,Automatic,Third,2143 cc,201 bhp @ 3800 rpm,5,5400000
2022,3826,Diesel,Individual,Automatic,UnRegistered Car,1950 cc,147 bhp @ 3400 rpm,5,4100000
2019,53000,Diesel,Individual,Automatic,First,2987 cc,255 bhp @ 3400 rpm,7,6875000
2018,37000,Petrol,Individual,Manual,Second,1591 cc,122 bhp @ 6400 rpm,5,1115000
2017,38000,Petrol,Individual,Automatic,Second,1497 cc,117 bhp @ 6600 rpm,5,761000
2021,8499,Petrol,Individual,Manual,First,1197 cc,83 bhp @ 6000 rpm,5,825000
2016,61181,Diesel,Individual,Manual,First,1396 cc,89 bhp @ 4000 rpm,5,650000
2017,45000,Petrol,Individual,Manual,First,1199 cc,89 bhp @ 6000 rpm,5,565000
2007,102000,Petrol,Individual,Automatic,First,3498 cc,272@6000,5,750000
2021,9232,Petrol,Individual,Automatic,First,1197 cc,82 bhp @ 6000 rpm,5,685000
2008,72542,Petrol,Individual,Manual,First,1061 cc,64@6200,5,135000
2018,42601,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,609000
2009,90000,Diesel,Individual,Manual,Second,2179 cc,120 bhp @ 4000 rpm,8,365000
2016,65000,Diesel,Individual,Automatic,First,2967 cc,245 bhp @ 2910 rpm,7,5175000
2018,40000,Diesel,Individual,Automatic,First,2755 cc,172 bhp @ 3400 rpm,7,2175000
2013,106223,Diesel,Individual,Automatic,Second,2696 cc,184 bhp @ 4000 rpm,7,675000
2009,115000,Diesel,Individual,Automatic,Second,2993 cc,218@4000,5,1400000
2016,50000,Petrol,Individual,Manual,First,1198 cc,87 bhp @ 6000 rpm,5,480000
2020,30000,Diesel,Individual,Automatic,First,1995 cc,188 bhp @ 4000 rpm,5,5800000
2018,39850,Diesel,Individual,Automatic,First,2967 cc,245 bhp @ 2910 rpm,7,6700000
2014,80000,Diesel,Individual,Automatic,First,1582 cc,126 bhp @ 4000 rpm,5,625000
2017,96095,Diesel,Individual,Automatic,First,2999 cc,174 bhp @ 3600 rpm,7,1791000
2018,12768,Petrol,Individual,Manual,First,1196 cc,73 bhp @ 6000 rpm,5,422000
2021,12321,Petrol,Individual,Automatic,UnRegistered Car,1984 cc,188 bhp @ 4200 rpm,5,4200000
2018,65100,Petrol,Corporate,Automatic,First,1798 cc,138 bhp @ 6400 rpm,5,1295000
2017,30000,Petrol,Individual,Manual,First,1197 cc,81 bhp @ 6000 rpm,5,495000
2019,12000,Petrol,Individual,Automatic,First,1199 cc,84 bhp @ 6000 rpm,5,585000
2019,33000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,3950000
2021,13000,Diesel,Individual,Automatic,First,1950 cc,192 bhp @ 3800 rpm,5,7475000
2013,57000,Petrol,Individual,Automatic,Second,1598 cc,103 bhp @ 5250 rpm,5,425000
2011,61000,Diesel,Individual,Automatic,Third,1995 cc,217 bhp @ 4400 rpm,5,975000
2017,48000,Diesel,Individual,Automatic,Second,1950 cc,192 bhp @ 3800 rpm,5,4150000
2012,118000,Diesel,Individual,Automatic,First,2967 cc,241 bhp @ 3800 rpm,7,2475000
2017,44000,Diesel,Individual,Automatic,Second,1995 cc,188 bhp @ 4000 rpm,5,2990000
2015,59000,Diesel,Individual,Automatic,First,2993 cc,258 bhp @ 4000 rpm,7,3550000
2013,99000,Diesel,Individual,Manual,Second,1461 cc,84 bhp @ 3750 rpm,5,280000
2009,75000,Petrol,Individual,Automatic,Second,3498 cc,272@6000,5,1500000
2019,79000,Diesel,Individual,Automatic,First,2993 cc,265 bhp @ 4000 rpm,5,5100000
2010,114000,Diesel,Individual,Manual,Second,2982 cc,171@3600,7,825000
2014,82000,CNG,Individual,Manual,First,998 cc,58 bhp @ 6200 rpm,5,310000
2016,80000,Petrol,Individual,Automatic,First,1199 cc,89 bhp @ 6000 rpm,5,595000
2014,65000,Diesel,Individual,Automatic,First,,,,3100000
2017,57000,Diesel,Individual,Manual,First,1956 cc,171 bhp @ 3750 rpm,5,1240000
2018,26807,Petrol,Individual,Manual,Second,1196 cc,73 bhp @ 6000 rpm,5,328000
2018,23000,Petrol,Individual,Manual,First,1197 cc,82 bhp @ 6000 rpm,5,625000
2015,112000,Diesel,Individual,Manual,First,1248 cc,74 bhp @ 4000 rpm,5,409999
2022,5000,Petrol,Individual,Manual,First,,,,975000
2015,70000,Petrol,Individual,Manual,First,1197 cc,85 bhp @ 6000 rpm,5,545000
2019,53929,Petrol,Individual,Manual,First,999 cc,75 bhp @ 6200 rpm,5,699000
2014,49580,Petrol,Individual,Manual,First,998 cc,67 bhp @ 6000 rpm,5,390000
2014,85000,Diesel,Individual,Manual,Second,1364 cc,87 bhp @ 3800 rpm,5,680000
2015,61000,Diesel,Individual,Manual,First,1248 cc,89 bhp @ 4000 rpm,5,625000
2012,35000,LPG,Individual,Manual,Second,998 cc,46 bhp @ 6200 rpm,5,235000
2016,42000,Diesel,Individual,Manual,First,2523 cc,75 bhp @ 3200 rpm,8,951000
2011,69000,Petrol,Individual,Automatic,Second,1497 cc,118@6600,5,550000
2017,70000,Petrol,Individual,Automatic,First,1368 cc,160 bhp @ 5500 rpm,5,1350000
2013,15780,Petrol,Individual,Manual,First,1197 cc,79 bhp @ 6000 rpm,5,325000
2012,40031,Diesel,Individual,Automatic,Second,,,,1150000
